id,cost_key,name,provider,category,service_line,cost_type,charge_basis,quantity,unit_cost,unit,billing_frequency,start_date,end_date,currency,record_type,enabled,notes
,infrastructure.hetzner.cx41,Hetzner CX41 pilot server,Hetzner,Infrastructure,Shared,fixed,flat,1,370,month,monthly,01/04/2026,23/07/2026,MXN,actual,FALSE,Al final se utilizó otro servidor y el Piloto empezó hasta Julio
,infrastructure.hetzner,Hetzner Server,Hetzner,Infrastructure,Shared,fixed,flat,1,32,month,monthly,23/07/2026,,USD,actual,TRUE,Al final se utilizó otro servidor y el Piloto empezó hasta Julio
,software.microsoft365.team,Microsoft 365 team subscription,Microsoft,Software,Shared,fixed,per_user,4,6,user-month,monthly,01/05/2026,30/06/2026,USD,actual,TRUE,Original two-user subscription rate
,software.microsoft365.team,Microsoft 365 team subscription,Microsoft,Software,Shared,fixed,per_user,4,8,user-month,monthly,01/07/2026,,USD,actual,TRUE,July price increase and one additional user
,software.github.enterprise,Github enterprise subscription,Github,Software,Shared,fixed,per_user,4,4,user-month,monthly,01/07/2026,,USD,actual,TRUE,1 Admin and 3 users
,software.valteh_domain_purchase,valteh.com domain purchase,Domain Registry,Software,Shared,one_time,flat,1,1000,payment,once,15/05/2026,15/05/2029,MXN,actual,TRUE,Initial domain purchase (3-year)
,,SAREMI domain purchase,Namecheap,Software,Shared,one_time,flat,1,35,payment,once,23/07/2026,23/07/2027,USD,actual,TRUE,Initial domain purchase (1-year)
,software.claude.anthropic,Claude Anthropic Subscription,Anthropic,Software,Shared,fixed,flat,1,17,month,monthly,01/04/2026,,USD,actual,TRUE,Monthly base subscription
,ai.claude.document_analysis,Claude document analysis,Anthropic,AI,SAREMI,variable,usage,1,1,saremi.document_validation,usage,01/04/2026,,MXN,actual,TRUE,Variable rate per document validation
,ai.local.document_preprocessing,Local document preprocessing,SAREMI,AI,SAREMI,variable,usage,1,0.05,saremi.document_validation,usage,01/04/2026,,MXN,actual,TRUE,Local preprocessing component
,operations.id_validation,ID validation workflow,SAREMI,Operations,SAREMI,variable,usage,1,0.1,saremi.ine_validation,usage,01/04/2026,,MXN,actual,TRUE,Variable validation rate
,compute.graphos.query,Graphos local query compute,Valteh,Compute,Graphos,variable,usage,1,0.02,graphos.query,usage,01/04/2026,,MXN,actual,TRUE,Local query compute
,compute.graphos.case_analysis,Graphos case analysis compute,Valteh,Compute,Graphos,variable,usage,1,0.1,graphos.case_analysis,usage,01/04/2026,,MXN,actual,TRUE,Case analysis compute
,blockchain.audit_anchor,Local blockchain audit anchor,Valteh,Blockchain,Blockchain / BaaS,variable,usage,1,0.01,blockchain.asiento_registration,usage,01/04/2026,,MXN,actual,TRUE,Internal audit anchor
,blockchain.folio_placeholder,Local blockchain folio placeholder,Valteh,Blockchain,Blockchain / BaaS,variable,usage,1,0.02,blockchain.folio_mint,usage,01/04/2026,,MXN,actual,TRUE,Local folio placeholder
,benchmark.aws_baas_pilot,AWS BaaS pilot infrastructure benchmark,AWS,Infrastructure,Blockchain / BaaS,fixed,flat,1,5100,month,monthly,,,MXN,estimate,FALSE,Future-state benchmark; excluded from actual calculations
,benchmark.aws_baas_production,AWS BaaS production infrastructure benchmark,AWS,Infrastructure,Blockchain / BaaS,fixed,flat,1,15300,month,monthly,,,MXN,estimate,FALSE,Future-state benchmark; excluded from actual calculations
,benchmark.blockchain_devops,Blockchain DevOps engineer benchmark,Valteh,People,Blockchain / BaaS,fixed,flat,1,45000,month,monthly,,,MXN,estimate,FALSE,Future-state benchmark; excluded from actual calculations
,benchmark.administration,Administrative and accounting benchmark,Valteh,Operations,Shared,fixed,flat,1,8000,month,monthly,,,MXN,estimate,FALSE,Future-state benchmark; excluded from actual calculations
